Family,Vi,Best_Loss,Duration_s
RLM1,1.0,1.005014,352.0
RLM1,1.2,1.043905,350.7
RLM1,0.8,1.065354,352.8
RLM1,1.1,1.08108,350.7
RLM1,0.9,1.174246,358.9
RLM2,0.9,1.154152,595.2
RLM2,1.1,1.186744,609.9
RLM2,1.0,1.217761,1426.9
RLM2,1.2,1.262342,602.0
RLM2,0.8,1.265883,605.4
RLR1,1.0,0.919635,417.3
RLR1,0.9,1.070761,417.2
RLR1,0.8,1.178366,418.5
RLR1,1.2,1.236055,417.7
RLR1,1.1,1.365207,417.4
RLV1,1.2,0.852678,207.1
RLV1,1.1,0.977281,207.0
RLV1,0.8,1.050591,209.4
RLV1,0.9,1.292549,206.9
RLV1,1.0,1.372768,207.2
RLV2,0.9,1.309723,146.6
RLV2,1.0,1.321636,146.7
RLV2,1.2,1.357621,147.0
RLV2,0.8,1.390279,148.6
RLV2,1.1,1.43698,146.5
